flt_pyt_debug_core_partner_id,flt_pyt_partner_trade_name,flt_pyt_partner_product_id,flt_pyt_session_considered_at_localtime,flt_pyt_transaction_created_at,flt_pyt_debug_gympass_individual_id,flt_pyt_transaction_cost,flt_pyt_transaction_type,flt_pyt_product_cap
101,Gym B,1002,1/24/2025 18:13:06,2025-01-24 15:13:06,390,100,VALIDATION,800
103,Gym E,1014,1/23/2025 17:02:48,2025-01-23 14:02:48,767,100,VALIDATION,800
103,Gym B,1002,1/23/2025 9:37:44,2025-01-23 6:37:44,448,50,LATE_CANCEL,800
105,Gym A,1005,1/23/2025 9:18:19,2025-01-23 6:18:19,232,40,VALIDATION,400
104,Gym B,1001,1/23/2025 4:25:43,2025-01-23 1:25:43,2002,25,LATE_CANCEL,500
102,Gym E,1014,1/23/2025 0:47:06,2025-01-22 21:47:06,161,100,VALIDATION,800
105,Gym B,1002,1/22/2025 19:16:52,2025-01-22 16:16:52,792,50,LATE_CANCEL,800
102,Gym D,1003,1/22/2025 12:26:10,2025-01-22 9:26:10,241,30,VALIDATION,300
105,Gym C,1011,1/22/2025 10:48:04,2025-01-22 7:48:04,973,40,RETROACTIVE,400
103,Gym C,1011,1/22/2025 9:02:15,2025-01-22 6:02:15,596,40,RETROACTIVE,400
101,Gym C,1012,1/22/2025 2:44:34,2025-01-21 23:44:34,560,150,RETROACTIVE,1500
105,Gym C,1011,1/21/2025 15:59:10,2025-01-21 12:59:10,314,40,VALIDATION,400
101,Gym B,1001,1/21/2025 10:07:40,2025-01-21 7:07:40,2002,25,LATE_CANCEL,500
101,Gym E,1014,1/20/2025 14:38:55,2025-01-20 11:38:55,931,100,RETROACTIVE,800
104,Gym C,1012,1/20/2025 7:52:24,2025-01-20 4:52:24,645,150,RETROACTIVE,1500
105,Gym B,1003,1/20/2025 1:42:39,2025-01-19 22:42:39,708,30,RETROACTIVE,300
105,Gym E,1014,1/19/2025 21:15:59,2025-01-19 18:15:59,2002,50,LATE_CANCEL,800
101,Gym B,1001,1/19/2025 6:58:49,2025-01-19 3:58:49,727,25,LATE_CANCEL,500
103,Gym D,1003,1/19/2025 5:24:59,2025-01-19 2:24:59,748,15,LATE_CANCEL,300
101,Gym D,1003,1/18/2025 19:42:19,2025-01-18 16:42:19,269,15,LATE_CANCEL,300
104,Gym E,1015,1/17/2025 20:37:37,2025-01-17 17:37:37,390,30,LATE_CANCEL,600
104,Gym E,1014,1/17/2025 16:05:06,2025-01-17 13:05:06,767,100,NO_SHOW,800
104,Gym B,1002,1/17/2025 14:08:10,2025-01-17 11:08:10,448,50,LATE_CANCEL,800
103,Gym C,1011,1/16/2025 19:50:51,2025-01-16 16:50:51,232,40,VALIDATION,400
103,Gym B,1001,1/16/2025 2:56:00,2025-01-15 23:56:00,2002,50,VALIDATION,500
105,Gym E,1015,1/15/2025 15:49:38,2025-01-15 12:49:38,161,60,NO_SHOW,600
105,Gym A,1006,1/15/2025 6:11:57,2025-01-15 3:11:57,792,25,RETROACTIVE,375
101,Gym A,1005,1/14/2025 18:24:50,2025-01-14 15:24:50,241,20,LATE_CANCEL,400
101,Gym E,1014,1/14/2025 14:09:23,2025-01-14 11:09:23,973,50,LATE_CANCEL,800
102,Gym D,1003,1/14/2025 10:05:41,2025-01-14 7:05:41,596,30,RETROACTIVE,300
103,Gym E,1015,1/14/2025 9:14:32,2025-01-14 6:14:32,281,60,VALIDATION,600
103,Gym C,1010,1/14/2025 8:24:03,2025-01-14 5:24:03,300,50,VALIDATION,250
102,Gym D,1003,1/13/2025 14:23:06,2025-01-13 11:23:06,375,30,RETROACTIVE,300
102,Gym D,1002,1/12/2025 19:05:45,2025-01-12 16:05:45,549,100,RETROACTIVE,800
102,Gym E,1014,1/12/2025 14:54:01,2025-01-12 11:54:01,931,100,VALIDATION,800
104,Gym C,1012,1/12/2025 9:37:48,2025-01-12 6:37:48,645,150,RETROACTIVE,1500
104,Gym B,1002,1/12/2025 9:12:49,2025-01-12 6:12:49,708,50,LATE_CANCEL,800
104,Gym C,1010,1/12/2025 7:08:01,2025-01-12 4:08:01,2002,50,VALIDATION,250
101,Gym A,1006,1/11/2025 18:11:47,2025-01-11 15:11:47,727,12.5,LATE_CANCEL,375
101,Gym A,1006,1/11/2025 17:49:41,2025-01-11 14:49:41,748,12.5,LATE_CANCEL,375
102,Gym E,1015,1/11/2025 14:10:14,2025-01-11 11:10:14,269,30,LATE_CANCEL,600
104,Gym A,1005,1/10/2025 19:59:00,2025-01-10 16:59:00,390,40,VALIDATION,400
103,Gym E,1015,1/10/2025 7:20:35,2025-01-10 4:20:35,767,60,VALIDATION,600
102,Gym D,1003,1/10/2025 0:26:04,2025-01-09 21:26:04,448,30,NO_SHOW,300
103,Gym E,1014,1/9/2025 21:25:48,2025-01-09 18:25:48,232,50,LATE_CANCEL,800
105,Gym D,1004,1/9/2025 15:17:37,2025-01-09 12:17:37,2002,60,LATE_CANCEL,600
102,Gym D,1002,1/9/2025 7:07:05,2025-01-09 4:07:05,161,50,LATE_CANCEL,800
105,Gym C,1010,1/8/2025 8:04:40,2025-01-08 5:04:40,792,50,RETROACTIVE,250
104,Gym E,1014,1/8/2025 6:32:55,2025-01-08 3:32:55,241,100,NO_SHOW,800
102,Gym D,1002,1/8/2025 1:14:51,2025-01-07 22:14:51,973,100,NO_SHOW,800
103,Gym E,1014,1/7/2025 17:07:08,2025-01-07 14:07:08,596,100,VALIDATION,800
101,Gym D,1004,1/7/2025 16:13:37,2025-01-07 13:13:37,821,120,RETROACTIVE,600
105,Gym A,1005,1/7/2025 13:45:40,2025-01-07 10:45:40,1008,40,VALIDATION,400
101,Gym C,1011,1/6/2025 22:40:07,2025-01-06 19:40:07,955,40,VALIDATION,400
103,Gym A,1005,1/6/2025 22:00:22,2025-01-06 19:00:22,5113,20,LATE_CANCEL,400
104,Gym C,1011,1/6/2025 20:12:10,2025-01-06 17:12:10,529,40,VALIDATION,400
105,Gym E,1014,2025-01-06 11:30:00,2025-01-06 8:30:00,2006,50,LATE_CANCEL,800
104,Gym D,1002,2025-01-05 8:00:00,2025-01-05 5:00:00,2005,100,VALIDATION,800
102,Gym A,1005,1/5/2025 5:41:27,2025-01-05 2:41:27,771,20,LATE_CANCEL,400
101,Gym C,1010,1/5/2025 5:12:47,2025-01-05 2:12:47,184,50,RETROACTIVE,250
105,Gym D,1004,1/5/2025 1:17:25,2025-01-04 22:17:25,889,120,NO_SHOW,600
104,Gym D,1004,1/4/2025 10:29:11,2025-01-04 7:29:11,714,120,VALIDATION,600
103,Gym C,1012,2025-01-04 9:00:00,2025-01-04 6:00:00,2004,150,RETROACTIVE,1500
102,Gym C,1013,1/4/2025 3:03:25,2025-01-04 0:03:25,176,30,NO_SHOW,300
104,Gym D,1003,1/3/2025 13:06:21,2025-01-03 10:06:21,365,30,VALIDATION,300
104,Gym E,1015,1/3/2025 7:04:02,2025-01-03 4:04:02,103,30,LATE_CANCEL,600
102,Gym B,1003,2025-01-02 15:30:00,2025-01-02 12:30:00,2002,15,LATE_CANCEL,300
103,Gym C,1012,1/2/2025 7:29:36,2025-01-02 4:29:36,476,150,VALIDATION,1500
103,Gym C,1013,1/2/2025 5:18:51,2025-01-02 2:18:51,931,30,NO_SHOW,300
103,Gym D,1004,1/1/2025 18:23:24,2025-01-01 15:23:24,645,120,VALIDATION,600
101,Gym A,1005,2025-01-01 10:00:00,2025-01-01 7:00:00,708,40,VALIDATION,400
102,Gym D,1002,1/1/2025 7:59:10,2025-01-01 4:59:10,2002,100,VALIDATION,800
105,Gym B,1003,1/1/2025 7:11:19,2025-01-01 4:11:19,727,30,RETROACTIVE,300
103,Gym E,1015,1/1/2025 0:43:24,2024-12-31 21:43:24,748,30,LATE_CANCEL,600
101,Gym C,1011,1/1/2025 0:23:07,2024-12-31 21:23:07,269,40,RETROACTIVE,400
